Regions,Cells,Neurons,Glia,Excitatory,Inhibitory,Modulatory,Astrocytes,Oligodendrocytes,Microglia
Nucleus of the posterior commissure,41298,19396,21902,17732,1106,558,1709,12647,7546
Olivary pretectal nucleus,14140,7074,7066,6590,310,174,721,3708,2637
Posterior pretectal nucleus,11613,5577,6036,5045,371,161,245,3143,2648
Cuneiform nucleus,37672,15065,22607,13183,1474,408,3159,14428,5020
Red nucleus,53868,27343,26525,25160,1395,788,4745,21678,102
Oculomotor nucleus,7651,4002,3649,3845,15,142,925,1919,805
Edinger-Westphal nucleus,9575,5696,3879,5543,5,148,684,2414,781
Trochlear nucleus,1534,684,850,593,63,28,213,536,101
Ventral tegmental nucleus,6617,2753,3864,1382,1285,86,486,1876,1502
Anterior tegmental nucleus,3920,1656,2264,367,1246,43,325,1574,365
Lateral terminal nucleus of the accessory optic tract,1363,611,752,492,113,6,100,559,93
Midbrain behavioral state related,201261,98862,102399,42302,13910,42650,15432,82184,4783
Substantia nigra compact part,60832,30838,29994,13621,5287,11930,4178,25715,101
Pedunculopontine nucleus,48433,19188,29245,15194,3283,711,3907,23923,1415
Midbrain raphe nuclei,91996,48836,43160,13487,5340,30009,7347,32546,3267
Interfascicular nucleus raphe,5585,3140,2445,1029,167,1944,318,2095,32
Interpeduncular nucleus,43432,24717,18715,6131,3419,15167,4029,13264,1422
Rostral linear nucleus raphe,2675,1439,1236,542,1,896,163,1073,0
Central linear nucleus raphe,11474,4602,6872,1162,630,2810,616,6177,79
Dorsal nucleus raphe,28830,14938,13892,4623,1123,9192,2221,9937,1734
Hindbrain,4569911,1921984,2647927,1685623,184453,51908,418356,1838966,390605
Pons,1681695,715713,965982,603082,93664,18967,157274,708240,100468
Pons sensory related,400998,158506,242492,139519,15060,3927,41201,170750,30541
Nucleus of the lateral lemniscus,94771,34355,60416,22120,11348,887,9273,46212,4931
Nucleus of the lateral lemniscus dorsal part,21730,7668,14062,5044,2431,193,1581,10304,2177
Nucleus of the lateral lemniscus horizontal part,5694,1926,3768,1415,445,66,510,2845,413
Nucleus of the lateral lemniscus ventral part,67347,24761,42586,15661,8472,628,7182,33063,2341
Principal sensory nucleus of the trigeminal,122127,48971,73156,47852,28,1091,12249,48842,12065
Parabrachial nucleus,109009,47141,61868,44668,1155,1318,9700,38623,13545
Koelliker-Fuse subnucleus,19048,7697,11351,7330,165,202,1633,7600,2118
Parabrachial nucleus lateral division,61834,27778,34056,26157,925,696,5980,19673,8403
Parabrachial nucleus lateral division central lateral part,19497,8726,10771,8279,222,225,1979,6068,2724
Parabrachial nucleus lateral division dorsal lateral part,7879,3498,4381,3323,98,77,903,2266,1212
Parabrachial nucleus lateral division external lateral part,10181,4919,5262,4647,171,101,763,3430,1069
Parabrachial nucleus lateral division superior lateral part,13547,5975,7572,5518,285,172,1511,4232,1829
Parabrachial nucleus lateral division ventral lateral part,10730,4660,6070,4390,149,121,824,3677,1569
Parabrachial nucleus medial division,28127,11666,16461,11181,65,420,2087,11350,3024
Parabrachial nucleus medial division external medial part,3784,1842,1942,1791,17,34,211,1353,378
Parabrachial nucleus medial division medial medial part,24343,9824,14519,9390,48,386,1876,9997,2646
Superior olivary complex,75091,28039,47052,24879,2529,631,9979,37073,0
Superior olivary complex periolivary region,64026,23808,40218,20834,2443,531,8606,31612,0
Superior olivary complex medial part,4442,1626,2816,1541,43,42,642,2174,0
Superior olivary complex lateral part,6623,2605,4018,2504,43,58,731,3287,0
Pons motor related,675594,301523,374071,274307,19094,8122,61858,271840,40373
Barrington's nucleus,5025,2580,2445,2458,51,71,478,1623,344
Dorsal tegmental nucleus,16516,7981,8535,6169,1636,176,1300,3946,3289
Pontine central gray,86490,38242,48248,30895,6224,1123,7524,28073,12651
Pontine gray,135292,74151,61141,71274,1353,1524,16960,42349,1832
Pontine reticular nucleus caudal part,263047,103079,159968,94558,5603,2918,21481,129236,9251
Supragenual nucleus,2946,1351,1595,1289,32,30,252,836,507
Supratrigeminal nucleus,17311,7033,10278,6705,94,234,1382,6287,2609
Tegmental reticular nucleus,90706,41500,49206,38759,1460,1281,7023,38592,3591
Motor nucleus of trigeminal,58261,25606,32655,22200,2641,765,5458,20898,6299
Pons behavioral state related,405840,168927,236913,112789,51104,5034,32983,183854,20076
Superior central nucleus raphe,67732,29914,37818,12861,16160,893,5183,24836,7799
Superior central nucleus raphe lateral part,29570,11668,17902,4942,6367,359,1958,11589,4355
Superior central nucleus raphe medial part,38162,18246,19916,7919,9793,534,3225,13247,3444
Locus ceruleus,12076,7166,4910,6973,19,174,1135,3390,385
Laterodorsal tegmental nucleus,22421,10563,11858,9617,604,342,1440,6603,3815
Nucleus incertus,16216,6673,9543,3949,2537,187,1322,5101,3120
Pontine reticular nucleus,269098,106860,162238,72341,31334,3185,22205,136056,3977
Nucleus raphe pontis,4690,1499,3191,1194,270,35,566,2098,527
Subceruleus nucleus,3403,1401,2002,1338,0,63,321,1495,186
Sublaterodorsal nucleus,10204,4851,5353,4516,180,155,811,4275,267
Medulla,2888216,1206271,1681945,1082541,90789,32941,261082,1130726,290137
Medulla sensory related,810481,337996,472485,305593,24657,7746,76270,280710,115505
Area postrema,7930,5364,2566,4293,981,90,923,465,1178
Cochlear nuclei,236618,97984,138634,88995,7951,1038,25429,83791,29414
Granular lamina of the cochlear nuclei,8319,3467,4852,3394,47,26,640,2796,1416
Cochlear nucleus subpedunclular granular region,9259,4288,4971,4009,231,48,907,2828,1236
Dorsal cochlear nucleus,94315,43839,50476,37102,6318,419,9405,28067,13004
Ventral cochlear nucleus,124725,46390,78335,44490,1355,545,14477,50100,13758
Dorsal column nuclei,36460,15819,20641,14501,843,475,2306,12041,6294
Cuneate nucleus,29806,12492,17314,11465,648,379,1820,10543,4951
Gracile nucleus,6654,3327,3327,3036,195,96,486,1498,1343
External cuneate nucleus,43873,19784,24089,18176,1128,480,3385,12072,8632
Nucleus of the trapezoid body,19326,8098,11228,7010,907,181,2214,9002,12
Nucleus of the solitary tract,100013,46248,53765,42287,2363,1598,8442,30621,14702
Nucleus of the solitary tract central part,1844,972,872,898,41,33,147,552,173
Nucleus of the solitary tract commissural part,7119,3633,3486,3416,100,117,911,1026,1549
Nucleus of the solitary tract gelatinous part,3315,1515,1800,1430,40,45,405,765,630
Nucleus of the solitary tract lateral part,37126,16641,20485,15399,665,577,2409,13206,4870
Nucleus of the solitary tract medial part,50609,23487,27122,21144,1517,826,4570,15072,7480
Spinal nucleus of the trigeminal caudal part,100537,40873,59664,37715,2227,931,7313,31329,21022
Spinal nucleus of the trigeminal interpolar part,201352,78764,122588,68568,7882,2314,19630,75121,27837
Spinal nucleus of the trigeminal oral part,64372,25062,39310,24048,375,639,6628,26268,6414
Spinal nucleus of the trigeminal oral part caudal dorsomedial part,5257,2335,2922,2167,103,65,348,1585,989
Spinal nucleus of the trigeminal oral part middle dorsomedial part dorsal zone,6438,2700,3738,2588,26,86,518,2107,1113
Spinal nucleus of the trigeminal oral part middle dorsomedial part ventral zone,6661,2609,4052,2507,17,85,557,2381,1114
Spinal nucleus of the trigeminal oral part rostral dorsomedial part,11203,4566,6637,4317,133,116,1135,4244,1258
Spinal nucleus of the trigeminal oral part ventrolateral part,34813,12852,21961,12469,96,287,4070,15951,1940
Medulla motor related,1722815,717998,1004817,640388,55791,21819,147811,714285,142721
Abducens nucleus,2599,1299,1300,1133,138,28,162,741,397
Facial motor nucleus,70133,31970,38163,28621,2493,856,9545,28475,143
Accessory facial motor nucleus,1498,767,731,744,0,23,133,598,0
Nucleus ambiguus,17174,7755,9419,6672,832,251,1485,7334,600
Nucleus ambiguus dorsal division,4668,2362,2306,2060,221,81,379,1730,197
Nucleus ambiguus ventral division,8502,3631,4871,2935,591,105,819,3880,172
Dorsal motor nucleus of the vagus nerve,18143,9200,8943,8546,380,274,1610,3975,3358
Gigantocellular reticular nucleus,272054,106534,165520,90133,12686,3715,18492,135976,11052
Infracerebellar nucleus,1284,514,770,355,146,13,57,377,336
Inferior olivary complex,59149,25395,33754,24668,655,72,8859,24401,494
Intermediate reticular nucleus,274765,112538,162227,102888,5765,3885,20007,129731,12489
Inferior salivatory nucleus,6119,2715,3404,2535,101,79,659,2689,56
Linear nucleus of the medulla,4512,2046,2466,1896,71,79,273,2188,5
Lateral reticular nucleus,63108,27451,35657,25930,1003,518,6768,27536,1353
Lateral reticular nucleus magnocellular part,59397,26154,33243,24655,991,508,6282,25631,1330
Lateral reticular nucleus parvicellular part,2547,715,1832,694,12,9,395,1414,23
Magnocellular reticular nucleus,73544,30919,42625,24208,5930,781,6873,34406,1346
Medullary reticular nucleus,153884,68032,85852,64472,1849,1711,9667,59587,16598
Medullary reticular nucleus dorsal part,59695,25796,33899,24231,796,769,1908,18258,13733
Medullary reticular nucleus ventral part,94189,42236,51953,40241,1053,942,7759,41329,2865
Parvicellular reticular nucleus,171044,70186,100858,62861,5057,2268,13599,74642,12617
Parasolitary nucleus,4976,2477,2499,2366,35,76,327,1414,758
Paragigantocellular reticular nucleus,87395,33942,53453,25712,7330,900,9094,40069,4290
Paragigantocellular reticular nucleus dorsal part,23051,8206,14845,6959,1012,235,1730,9550,3565
Paragigantocellular reticular nucleus lateral part,64344,25736,38608,18753,6318,665,7364,30519,725
Perihypoglossal nuclei,52216,21646,30570,18561,2364,721,3746,14596,12228
Nucleus of Roller,2367,811,1556,753,29,29,135,938,483
Nucleus prepositus,49849,20835,29014,17808,2335,692,3611,13658,11745
Parapyramidal nucleus,5230,2023,3207,1192,819,12,993,2183,31
Vestibular nuclei,332459,139069,193390,127655,6606,4808,30367,107691,55332
Lateral vestibular nucleus,55044,21751,33293,20287,831,633,5706,19764,7823
Medial vestibular nucleus,168114,73964,94150,67378,3837,2749,14947,50178,29025
Spinal vestibular nucleus,64571,26051,38520,24247,900,904,5715,21387,11418
Superior vestibular nucleus,44730,17303,27427,15743,1038,522,3999,16362,7066
Nucleus x,6542,2692,3850,2539,74,79,493,2439,918
Hypoglossal nucleus,42525,17806,24719,15890,1272,644,4392,12464,7863
Nucleus y,2462,1022,1440,811,185,26,210,773,457
Medulla behavioral state related,38470,17093,21377,15380,1296,417,5197,15911,269
Nucleus raphe magnus,22049,9878,12171,8517,1046,315,2414,9689,68
Nucleus raphe pallidus,8056,3529,4527,3256,249,24,1620,2865,42
Nucleus raphe obscurus,8365,3686,4679,3607,1,78,1163,3357,159
Cerebellum,46620517,39607063,7013454,38628076,954280,24707,1369134,2869537,2774783
Cerebellar cortex,44584738,39376980,5207758,38416584,938335,22061,1062409,2014055,2131294
Vermal regions,17494449,15408108,2086341,15018311,378621,11176,414603,713811,957927
Lingula (I),78997,67219,11778,63922,3214,83,2519,4356,4903
Lingula (I) molecular layer,19186,13568,5618,12487,1034,47,1188,1768,2662
Lingula (I) granular layer,59811,53651,6160,51435,2180,36,1331,2588,2241
Central lobule,3816868,3380688,436180,3273081,105360,2247,93689,137823,204668
Lobule II,1203573,1070137,133436,1043853,25418,866,29607,42254,61575
Lobule II molecular layer,204013,137995,66018,115395,22184,416,13852,24833,27333
Lobule II granular layer,999560,932142,67418,928458,3234,450,15755,17421,34242
Lobule III,2613295,2310551,302744,2229228,79942,1381,64082,95569,143093
Lobule III molecular layer,386361,271626,114735,210552,60524,550,27143,30256,57336
Lobule III granular layer,2226934,2038925,188009,2018676,19418,831,36939,65313,85757
Culmen,6455289,5610825,844464,5460193,147417,3215,169667,317340,357457
Lobules IV-V,6455289,5610825,844464,5460193,147417,3215,169667,317340,357457
Lobules IV-V molecular layer,989916,688594,301322,573614,113744,1236,70512,85156,145654
Lobules IV-V granular layer,5465373,4922231,543142,4886579,33673,1979,99155,232184,211803
Declive (VI),2812277,2481747,330530,2432526,48224,997,62660,115061,152809
Declive (VI) molecular layer,560960,447865,113095,404786,42720,359,24750,26667,61678
Declive (VI) granular layer,2251317,2033882,217435,2027740,5504,638,37910,88394,91131
Folium-tuber vermis (VII),557808,508732,49076,503368,5118,246,8203,15127,25746
Folium-tuber vermis (VII) molecular layer,211997,188502,23495,184198,4182,122,4133,6593,12769
Folium-tuber vermis (VII) granular layer,345811,320230,25581,319170,936,124,4070,8534,12977
Pyramus (VIII),899798,806409,93389,790838,15133,438,14805,33224,45360
Pyramus (VIII) molecular layer,239536,202412,37124,189923,12307,182,6058,10986,20080
Pyramus (VIII) granular layer,660262,603997,56265,600915,2826,256,8747,22238,25280
Uvula (IX),1663128,1480654,182474,1454461,24139,2054,35283,51863,95328
Uvula (IX) molecular layer,330837,253048,77789,231518,20473,1057,15750,19968,42071
Uvula (IX) granular layer,1332291,1227606,104685,1222943,3666,997,19533,31895,53257
Nodulus (X),1210284,1071834,138450,1039922,30016,1896,27777,39017,71656
Nodulus (X) molecular layer,190648,128311,62337,118716,8484,1111,11787,17899,32651
Nodulus (X) granular layer,1019636,943523,76113,921206,21532,785,15990,21118,39005
Hemispheric regions,27090289,23968872,3121417,23398273,559714,10885,647806,1300244,1173367
Simple lobule,5044541,4357213,687328,4263439,91563,2211,147817,292970,246541
Simple lobule molecular layer,871684,632516,239168,546348,85231,937,65575,72012,101581
Simple lobule granular layer,4172857,3724697,448160,3717091,6332,1274,82242,220958,144960
Ansiform lobule,9791013,8536801,1254212,8389553,143575,3673,239972,523318,490922
Crus 1,5562768,4822479,740289,4730645,89729,2105,146883,311508,281898
Crus 1 molecular layer,903984,653686,250298,569563,83246,877,61334,79936,109028
Crus 1 granular layer,4658784,4168793,489991,4161082,6483,1228,85549,231572,172870
Crus 2,4228245,3714322,513923,3658908,53846,1568,93089,211810,209024
Crus 2 molecular layer,760521,583639,176882,534137,48889,613,39892,56771,80219
Crus 2 granular layer,3467724,3130683,337041,3124771,4957,955,53197,155039,128805
Paramedian lobule,3478370,3115033,363337,3058715,55010,1308,86964,148830,127543
Paramedian lobule molecular layer,749956,607739,142217,557005,50212,522,41538,46990,53689
Paramedian lobule granular layer,2728414,2507294,221120,2501710,4798,786,45426,101840,73854
Copula pyramidis,2182891,1960069,222822,1924115,34520,1434,47908,95513,79401
Copula pyramidis molecular layer,439197,352239,86958,321463,30195,581,22011,31558,33389
Copula pyramidis granular layer,1743694,1607830,135864,1602652,4325,853,25897,63955,46012
Paraflocculus,5364695,4921444,443251,4707529,212663,1252,84177,177386,181688
Paraflocculus molecular layer,852535,696382,156153,603624,92255,503,40910,57729,57514
Paraflocculus granular layer,4512160,4225062,287098,4103905,120408,749,43267,119657,124174
Flocculus,1228779,1078312,150467,1054922,22383,1007,40968,62227,47272
Flocculus molecular layer,240354,181646,58708,166473,14791,382,18032,22530,18146
Flocculus granular layer,988425,896666,91759,888449,7592,625,22936,39697,29126
Cerebellar nuclei,387224,230083,157141,211492,15945,2646,20578,91572,44991
Fastigial nucleus,109552,61388,48164,60256,476,656,5654,30284,12226
Interposed nucleus,183707,111045,72662,102652,6958,1435,8813,39947,23902
Dentate nucleus,93965,57650,36315,48584,8511,555,6111,21341,8863
fiber tracts,6810635,0,6810635,0,0,0,944230,4251564,1614841
cranial nerves,1367005,0,1367005,0,0,0,204042,799157,363806
vomeronasal nerve,4005,0,4005,0,0,0,1537,1076,1392
olfactory nerve,614056,0,614056,0,0,0,62940,251590,299526
olfactory nerve layer of main olfactory bulb,296531,0,296531,0,0,0,29043,73275,194213
lateral olfactory tract general,140180,0,140180,0,0,0,20876,78310,40994
lateral olfactory tract body,134742,0,134742,0,0,0,20819,78310,35613
dorsal limb,5438,0,5438,0,0,0,57,0,5381
anterior commissure olfactory limb,177345,0,177345,0,0,0,13021,100005,64319
optic nerve,176633,0,176633,0,0,0,47754,109120,19759
brachium of the superior colliculus,57749,0,57749,0,0,0,13463,30384,13902
superior colliculus commissure,3962,0,3962,0,0,0,838,2458,666
optic chiasm,24479,0,24479,0,0,0,6870,16750,859
optic tract,90443,0,90443,0,0,0,26583,59528,4332
oculomotor nerve,94645,0,94645,0,0,0,15057,72854,6734
medial longitudinal fascicle,87937,0,87937,0,0,0,13274,68317,6346
posterior commissure,6708,0,6708,0,0,0,1783,4537,388
trigeminal nerve,150318,0,150318,0,0,0,23012,111793,15513
motor root of the trigeminal nerve,15837,0,15837,0,0,0,1911,11589,2337
sensory root of the trigeminal nerve,114965,0,114965,0,0,0,18765,83024,13176
midbrain tract of the trigeminal nerve,1846,0,1846,0,0,0,322,1281,243
spinal tract of the trigeminal nerve,113119,0,113119,0,0,0,18443,81743,12933
facial nerve,15478,0,15478,0,0,0,2138,12598,742
genu of the facial nerve,5682,0,5682,0,0,0,602,4474,606
vestibulocochlear nerve,203902,0,203902,0,0,0,38274,153546,12082
vestibular nerve,11029,0,11029,0,0,0,1846,7779,1404
cochlear nerve,189287,0,189287,0,0,0,35946,142679,10662
trapezoid body,46399,0,46399,0,0,0,9784,35749,866
lateral lemniscus,97847,0,97847,0,0,0,15974,75941,5932
inferior colliculus commissure,443,0,443,0,0,0,52,295,96
brachium of the inferior colliculus,44598,0,44598,0,0,0,10136,30694,3768
vagus nerve,5389,0,5389,0,0,0,626,3315,1448
solitary tract,5389,0,5389,0,0,0,626,3315,1448
dorsal roots,102579,0,102579,0,0,0,12704,83265,6610
cervicothalamic tract,102579,0,102579,0,0,0,12704,83265,6610
dorsal column,5179,0,5179,0,0,0,203,1497,3479
cuneate fascicle,4708,0,4708,0,0,0,197,1474,3037
gracile fascicle,471,0,471,0,0,0,6,23,442
medial lemniscus,97400,0,97400,0,0,0,12501,81768,3131
cerebellum related fiber tracts,3043047,0,3043047,0,0,0,481809,1632867,928371
cerebellar commissure,43045,0,43045,0,0,0,8399,21571,13075
cerebellar peduncles,450519,0,450519,0,0,0,96170,298879,55470
superior cerebelar peduncles,146028,0,146028,0,0,0,27966,110158,7904
superior cerebellar peduncle decussation,20639,0,20639,0,0,0,1785,18345,509
ventral spinocerebellar tract,79332,0,79332,0,0,0,20999,56325,2008
middle cerebellar peduncle,231876,0,231876,0,0,0,55936,135772,40168
inferior cerebellar peduncle,72615,0,72615,0,0,0,12268,52949,7398
arbor vitae,2549483,0,2549483,0,0,0,377240,1312417,859826
lateral forebrain bundle system,1466063,0,1466063,0,0,0,153035,1156547,156481
corpus callosum,898589,0,898589,0,0,0,63134,701127,134328
corpus callosum anterior forceps,362101,0,362101,0,0,0,27302,271815,62984
external capsule,248480,0,248480,0,0,0,18018,172802,57660
genu of corpus callosum,60702,0,60702,0,0,0,3390,52525,4787
corpus callosum posterior forceps,48927,0,48927,0,0,0,3962,36245,8720
corpus callosum splenium,15276,0,15276,0,0,0,904,11863,2509
corticospinal tract,534827,0,534827,0,0,0,85901,430841,18085
internal capsule,272906,0,272906,0,0,0,29359,227414,16133
cerebal peduncle,194987,0,194987,0,0,0,40955,152323,1709
pyramid,51163,0,51163,0,0,0,12917,38090,156
thalamus related,32647,0,32647,0,0,0,4000,24579,4068
external medullary lamina of the thalamus,31305,0,31305,0,0,0,3883,23825,3597
internal medullary lamina of the thalamus,1342,0,1342,0,0,0,117,754,471
extrapyramidal fiber systems,57093,0,57093,0,0,0,7192,47562,2339
tectospinal pathway,19156,0,19156,0,0,0,1493,15491,2172
doral tegmental decussation,3374,0,3374,0,0,0,223,3151,0
rubrospinal tract,37937,0,37937,0,0,0,5699,32071,167
ventral tegmental decussation,7967,0,7967,0,0,0,616,7310,41
medial forebrain bundle system,877427,0,877427,0,0,0,98152,615431,163844
cerebrum related,746683,0,746683,0,0,0,79416,536968,130299
amygdalar capsule,20789,0,20789,0,0,0,1236,13533,6020
anterior commissure temporal limb,15431,0,15431,0,0,0,2163,13245,23
cingulum bundle,63488,0,63488,0,0,0,2209,50034,11245
fornix system,554297,0,554297,0,0,0,54679,392865,106753
alveus,179969,0,179969,0,0,0,14573,126957,38439
dorsal fornix,14883,0,14883,0,0,0,1319,11860,1704
fimbria,214007,0,214007,0,0,0,27072,147712,39223
postcommissural fornix,35481,0,35481,0,0,0,3512,30387,1582
columns of the fornix,35481,0,35481,0,0,0,3512,30387,1582
hippocampal commissures,109957,0,109957,0,0,0,8203,75949,25805
dorsal hippocampal commissure,82250,0,82250,0,0,0,4639,59838,17773
ventral hippocampal commissure,27707,0,27707,0,0,0,3564,16111,8032
stria terminalis,92678,0,92678,0,0,0,19129,67291,6258
hypothalamus related,130744,0,130744,0,0,0,18736,78463,33545
supramammillary decussation,1863,0,1863,0,0,0,472,977,414
mammillary related,28830,0,28830,0,0,0,2875,24358,1597
principal mammillary tract,2084,0,2084,0,0,0,260,1163,661
mammilothalmic tract,13065,0,13065,0,0,0,806,11682,577
mammillotegmental tract,10643,0,10643,0,0,0,1242,9060,341
mammillary peduncle,3038,0,3038,0,0,0,567,2453,18
epithalamus related,100051,0,100051,0,0,0,15389,53128,31534
stria medullaris,68231,0,68231,0,0,0,11767,35193,21271
fasciculus retroflexus,25957,0,25957,0,0,0,2175,15083,8699
habenular commissure,5863,0,5863,0,0,0,1447,2852,1564
