Regions,Cells,Neurons,Glia,Excitatory,Inhibitory,Modulatory,Astrocytes,Oligodendrocytes,Microglia
Primary auditory area layer 2/3,144657,91680,52977,90511,1046,123,2182,14827,35968
Primary auditory area layer 4,68199,41372,26827,40731,516,125,1640,13844,11343
Primary auditory area layer 5,153008,85276,67732,83262,1510,504,3578,48470,15684
Primary auditory area layer 6a,94545,53398,41147,51722,1407,269,1408,32283,7456
Primary auditory area layer 6b,22044,10734,11310,10154,514,66,348,9378,1584
Posterior auditory area,35044,21642,13402,19643,1935,64,693,3922,8787
Posterior auditory area layer 1,2428,1412,1016,0,1409,3,51,61,904
Posterior auditory area layer 2/3,10548,6912,3636,6830,76,6,228,420,2988
Posterior auditory area layer 4,4208,2704,1504,2649,44,11,100,298,1106
Posterior auditory area layer 5,11763,7153,4610,7005,119,29,252,1565,2793
Posterior auditory area layer 6a,4723,2741,1982,2538,191,12,52,1117,813
Posterior auditory area layer 6b,1374,720,654,621,96,3,10,461,183
Ventral auditory area,482094,296264,185830,270113,25119,1032,7506,104116,74208
Ventral auditory area layer 1,32127,20620,11507,0,20610,10,281,1134,10092
Ventral auditory area layer 2/3,118807,80869,37938,79617,1149,103,1359,11105,25474
Ventral auditory area layer 4,60080,38246,21834,37722,419,105,1001,11846,8987
Ventral auditory area layer 5,146514,86282,60232,84480,1373,429,2970,39711,17551
Ventral auditory area layer 6a,103127,59669,43458,58391,965,313,1492,31871,10095
Ventral auditory area layer 6b,21439,10578,10861,9903,603,72,403,8449,2009
Visual areas,2377947,1298752,1079195,1145209,148709,4834,145416,442952,490827
Anterolateral visual area,376040,188765,187275,171536,16257,972,18633,80517,88125
Anterolateral visual area layer 1,26721,13834,12887,0,13818,16,1634,1295,9958
Anterolateral visual area layer 2/3,103470,54894,48576,53964,772,158,5487,12158,30931
Anterolateral visual area layer 4,46439,23471,22968,23062,282,127,2646,9055,11267
Anterolateral visual area layer 5,115867,55923,59944,54587,935,401,6156,29077,24711
Anterolateral visual area layer 6a,66636,33269,33367,32679,364,226,2408,21224,9735
Anterolateral visual area layer 6b,16907,7374,9533,7244,86,44,302,7708,1523
Anteromedial visual area,340847,171175,169672,151162,18974,1039,23695,93376,52601
Anteromedial visual area layer 1,31855,17160,14695,0,17123,37,2889,4018,7788
Anteromedial visual area layer 2/3,94233,51478,42755,50749,563,166,7038,16127,19590
Anteromedial visual area layer 4,38130,19330,18800,18952,259,119,2903,9621,6276
Anteromedial visual area layer 5,93479,44893,48586,43659,813,421,6363,29773,12450
Anteromedial visual area layer 6a,65162,30881,34281,30444,183,254,3464,25288,5529
Anteromedial visual area layer 6b,17988,7433,10555,7358,33,42,1038,8549,968
Lateral visual area,147593,73018,74575,67158,5622,238,8200,28006,38369
Lateral visual area layer 1,9906,4660,5246,0,4659,1,465,292,4489
Lateral visual area layer 2/3,43411,23680,19731,23396,246,38,2261,3247,14223
Lateral visual area layer 4,18736,9958,8778,9822,106,30,1190,2400,5188
Lateral visual area layer 5,41766,19663,22103,19121,455,87,2545,9556,10002
Lateral visual area layer 6a,27904,12960,14944,12759,133,68,1462,9599,3883
Lateral visual area layer 6b,5870,2097,3773,2060,23,14,277,2912,584
Primary visual area,1145870,624549,521321,554488,68055,2006,72814,202713,245794
Primary visual area layer 1,90063,54751,35312,0,54719,32,6759,3985,24568
Primary visual area layer 2/3,331681,194886,136795,187111,7489,286,22937,34623,79235
Primary visual area layer 4,174296,95987,78309,93791,1934,262,11798,29733,36778
Primary visual area layer 5,326423,170459,155964,166616,3067,776,19732,69513,66719
Primary visual area layer 6a,190172,94147,96025,92826,768,553,9958,52129,33938
Primary visual area layer 6b,33235,14319,18916,14144,78,97,1630,12730,4556
Posterolateral visual area,119516,66168,53348,58783,7192,193,6680,19226,27442
Posterolateral visual area layer 1,9662,5951,3711,0,5948,3,794,324,2593
Posterolateral visual area layer 2/3,33800,20166,13634,19385,757,24,2124,3211,8299
Posterolateral visual area layer 4,15344,8784,6560,8699,65,20,904,2319,3337
Posterolateral visual area layer 5,36464,19217,17247,18859,283,75,1935,7049,8263
Posterolateral visual area layer 6a,21977,11071,10906,10874,131,66,850,5553,4503
Posterolateral visual area layer 6b,2269,979,1290,966,8,5,73,770,447
posteromedial visual area,248081,175077,73004,142082,32609,386,15394,19114,38496
posteromedial visual area layer 1,27963,20208,7755,0,20184,24,2174,777,4804
posteromedial visual area layer 2/3,81853,61534,20319,54756,6701,77,5227,2521,12571
posteromedial visual area layer 4,25120,17237,7883,15557,1655,25,1716,2290,3877
posteromedial visual area layer 5,65646,46789,18857,43216,3451,122,3975,5504,9378
posteromedial visual area layer 6a,45128,28070,17058,27335,608,127,2212,7368,7478
posteromedial visual area layer 6b,2371,1239,1132,1218,10,11,90,654,388
Anterior cingulate area,792103,396808,395295,317853,75188,3767,49279,169376,176640
Anterior cingulate area dorsal part,402148,182968,219180,151189,29730,2049,22763,86939,109478
Anterior cingulate area dorsal part layer 1,61222,25877,35345,0,25669,208,4830,5645,24870
Anterior cingulate area dorsal part layer 2/3,145759,71776,73983,69977,965,834,8776,20624,44583
Anterior cingulate area dorsal part layer 5,119889,53341,66548,51192,1491,658,6460,31986,28102
Anterior cingulate area dorsal part layer 6a,67105,28814,38291,27519,975,320,2471,24715,11105
